Name,1en,2cn,3jp
Text,,,
GameTitle,ForTheBaoZi,为了包子,バオズのために
Wait,Waiting,等待输入,入力待ち
Saved,Changes saved,修改已保存,変更が保存されました
Test,"If it is a long sentence, use Excel to edit and export CSV file.","如句子包含英文逗号, 请用Excel编辑并导出CSV文件","If it is a long sentence, use Excel to edit and export CSV file."
,,,
Button,,,
CompletePreset,Complete Preset,完成设定,プリセットを完了
StartGame,Game Start,开始游戏,ゲームを開始
Option,Options,设置,オプション
Credits,Credits,制作人员,クレジット
Quit,Quit,离开,終了
General,General,通用,一般
Graphics,Graphics,显示,グラフィック
Sound,Sound,声音,サウンド
Keyboard,Keyboard,键盘设定,キーボード
Gamepad,Gamepad,手柄设定,ゲームパッド
ResetInput,Reset all,全部重置,すべてリセット
ClosePanel,Back,返回,戻る
CloseSubPanel,Back,返回,戻る
Continue,Resume,继续游戏,再開
GoTitle,Back to title,返回标题,タイトルに戻る
,,,
Input(Player map),,,
No1,Button1,按钮1,按钮1
No2,Button2,按钮2,按钮2
No3,Button3,按钮3,按钮3
No4,Button4,按钮4,按钮4
No5,Button5,按钮5,按钮5
No6,Button6,按钮6,按钮6
No7,Button7,按钮7,按钮7
OpenMenu,OpenMenu,菜单,メニュー
,,,
Input(UI map),,,
Cancel,Cancel,返回,戻る
Submit,Apply,应用,決定
Navigate,Select,选择,選択
